NAME: Proje_Ozel_Veri_Seti
TYPE: VRPTW
VEHICLE
NUMBER     CAPACITY
3          500

CUSTOMER
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME

    0      12500    12500       0.0        0       1000          0
    1      13000    14000       1.2        0       1000         10
    2      12000    13500       0.5        0       1000         10
    3      14000    12000       2.0        0       1000         10
    4      11000    12500       0.8        0       1000         10
    5      13500    11500       1.5        0       1000         10
    6      15000    13000       0.3        0       1000         10
    7      12000    11000       1.1        0       1000         10
    8      14500    14500       2.2        0       1000         10
    9      10500    13500       0.9        0       1000         10
   10      13000    12500       1.8        0       1000         10
