NAME Proje_Ozel_Veri_Seti_25
TYPE VRPTW
VEHICLE
NUMBER     CAPACITY
3          500

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME

    0      12500    12500       0.0        0       1000          0
    1      13200    14100       1.2        0       1000         10
    2      11800    13700       0.5        0       1000         10
    3      14200    11900       2.1        0       1000         10
    4      10500    12800       0.8        0       1000         10
    5      13800    11200       1.6        0       1000         10
    6      14900    13200       0.4        0       1000         10
    7      11900    10800       1.3        0       1000         10
    8      14600    14400       2.4        0       1000         10
    9      10200    13600       0.9        0       1000         10
   10      13100    12600       1.8        0       1000         10
   11      12100    14500       0.6        0       1000         10
   12      13900    13900       1.4        0       1000         10
   13      11200    11500       2.0        0       1000         10
   14      12800    10500       0.7        0       1000         10
   15      14500    11000       1.9        0       1000         10
   16      10800    14200       1.1        0       1000         10
   17      13500    14800       0.8        0       1000         10
   18      11500    12200       2.2        0       1000         10
   19      14100    12800       1.5        0       1000         10
   20      12400    13800       0.5        0       1000         10
   21      13600    10900       1.7        0       1000         10
   22      10900    11800       1.0        0       1000         10
   23      14800    12200       2.3        0       1000         10
   24      11600    14600       0.4        0       1000         10
   25      12900    13100       1.2        0       1000         10
